Data from https://lasp.colorado.edu/lisird/data/cls_radio_flux_f107/
time (yyyy-MM-dd'T'HH:mm:ss.SSS),adjusted_f107 (solar flux unit (SFU)),adjusted_f107_c (solar flux unit (SFU)),adjusted_f107_p (solar flux unit (SFU)),adjusted_f107_f
2000-01-01T00:00:00.000,125.6,125.6,7.0,0
2000-01-02T00:00:00.000,128.5,128.5,7.0,0
2000-01-03T00:00:00.000,128.7,128.7,6.9,0
2000-01-04T00:00:00.000,130.3,130.3,6.9,0
2000-01-05T00:00:00.000,132.0,132.0,6.9,0
2000-01-06T00:00:00.000,140.0,140.0,6.9,0
2000-01-07T00:00:00.000,144.8,144.8,6.9,0
2000-01-08T00:00:00.000,149.6,149.6,6.8,0
2000-01-09T00:00:00.000,155.3,155.3,6.8,0
2000-01-10T00:00:00.000,157.8,157.8,6.8,0
2000-01-11T00:00:00.000,171.8,171.8,6.8,0
2000-01-12T00:00:00.000,189.3,189.3,6.9,0
2000-01-13T00:00:00.000,195.4,195.4,6.9,0
2000-01-14T00:00:00.000,194.7,194.7,6.9,0
2000-01-15T00:00:00.000,203.9,203.9,6.9,0
2000-01-16T00:00:00.000,201.0,201.0,7.0,0
2000-01-17T00:00:00.000,190.1,190.1,7.0,0
2000-01-18T00:00:00.000,188.4,188.4,7.0,0
2000-01-19T00:00:00.000,172.9,172.9,7.0,0
2000-01-20T00:00:00.000,165.3,165.3,7.0,0
2000-01-21T00:00:00.000,154.3,154.3,7.0,0
2000-01-22T00:00:00.000,145.8,145.8,7.0,0
2000-01-23T00:00:00.000,136.1,136.1,7.0,0
2000-01-24T00:00:00.000,136.3,136.3,6.9,0
2000-01-25T00:00:00.000,133.1,133.1,6.9,0
2000-01-26T00:00:00.000,136.4,136.4,6.9,0
2000-01-27T00:00:00.000,128.4,128.4,6.9,0
2000-01-28T00:00:00.000,122.2,122.2,6.8,0
2000-01-29T00:00:00.000,123.9,123.9,6.8,0
2000-01-30T00:00:00.000,128.7,128.7,6.8,0
2000-01-31T00:00:00.000,134.5,134.5,6.8,0
2000-02-01T00:00:00.000,134.1,134.1,6.8,0
2000-02-02T00:00:00.000,140.2,140.2,6.7,0
2000-02-03T00:00:00.000,149.7,149.7,6.7,0
2000-02-04T00:00:00.000,162.7,162.7,6.7,0
2000-02-05T00:00:00.000,163.1,163.1,6.7,0
2000-02-06T00:00:00.000,172.8,172.8,6.7,0
2000-02-07T00:00:00.000,177.0,177.0,6.8,0
2000-02-08T00:00:00.000,169.0,169.0,6.8,0
2000-02-09T00:00:00.000,193.7,193.7,6.8,0
2000-02-10T00:00:00.000,171.1,171.1,6.8,0
2000-02-11T00:00:00.000,165.8,165.8,6.8,0
2000-02-12T00:00:00.000,159.1,159.1,6.8,0
2000-02-13T00:00:00.000,155.9,155.9,6.8,0
2000-02-14T00:00:00.000,154.7,154.7,6.8,0
2000-02-15T00:00:00.000,152.2,152.2,6.8,0
2000-02-16T00:00:00.000,156.3,156.3,6.8,0
2000-02-17T00:00:00.000,164.4,164.4,6.8,0
2000-02-18T00:00:00.000,137.8,137.8,6.7,0
2000-02-19T00:00:00.000,141.5,141.5,6.7,0
2000-02-20T00:00:00.000,149.9,149.9,6.7,0
2000-02-21T00:00:00.000,148.7,148.7,6.7,0
2000-02-22T00:00:00.000,168.6,168.6,6.7,0
2000-02-23T00:00:00.000,181.2,181.2,6.7,0
2000-02-24T00:00:00.000,188.3,188.3,6.8,0
2000-02-25T00:00:00.000,206.2,206.2,6.8,0
2000-02-26T00:00:00.000,210.6,210.6,6.8,0
2000-02-27T00:00:00.000,222.9,222.9,6.9,0
2000-02-28T00:00:00.000,214.7,214.7,6.9,0
2000-02-29T00:00:00.000,215.1,215.1,6.9,0
2000-03-01T00:00:00.000,228.7,228.7,7.0,0
2000-03-02T00:00:00.000,209.6,209.6,7.0,0
2000-03-03T00:00:00.000,200.4,200.4,7.0,0
2000-03-04T00:00:00.000,197.0,197.0,7.0,0
2000-03-05T00:00:00.000,216.8,216.8,7.1,0
2000-03-06T00:00:00.000,219.1,219.1,7.1,0
2000-03-07T00:00:00.000,218.5,218.5,7.2,0
2000-03-08T00:00:00.000,211.8,211.8,7.2,0
2000-03-09T00:00:00.000,203.0,203.0,7.2,0
2000-03-10T00:00:00.000,200.7,200.7,7.2,0
2000-03-11T00:00:00.000,200.6,200.6,7.2,0
2000-03-12T00:00:00.000,200.8,200.8,7.3,0
2000-03-13T00:00:00.000,186.0,186.0,7.3,0
2000-03-14T00:00:00.000,180.6,180.6,7.3,0
2000-03-15T00:00:00.000,175.9,175.9,7.3,0
2000-03-16T00:00:00.000,182.5,182.5,7.3,0
2000-03-17T00:00:00.000,190.6,190.6,7.3,0
2000-03-18T00:00:00.000,193.0,193.0,7.3,0
2000-03-19T00:00:00.000,206.5,206.5,7.3,0
2000-03-20T00:00:00.000,208.7,208.7,7.4,0
2000-03-21T00:00:00.000,228.9,228.9,7.4,0
2000-03-22T00:00:00.000,232.2,232.2,7.5,0
2000-03-23T00:00:00.000,222.7,222.7,7.5,0
2000-03-24T00:00:00.000,217.7,217.7,7.5,0
2000-03-25T00:00:00.000,204.1,204.1,7.5,0
2000-03-26T00:00:00.000,210.4,210.4,7.6,0
2000-03-27T00:00:00.000,204.1,204.1,7.6,0
2000-03-28T00:00:00.000,200.3,200.3,7.6,0
2000-03-29T00:00:00.000,208.3,208.3,7.6,0
2000-03-30T00:00:00.000,205.1,205.1,7.6,0
2000-03-31T00:00:00.000,225.1,225.1,7.7,0
2000-04-01T00:00:00.000,222.7,222.7,7.7,0
2000-04-02T00:00:00.000,219.3,219.3,7.7,0
2000-04-03T00:00:00.000,215.5,215.5,7.8,0
2000-04-04T00:00:00.000,206.9,206.9,7.8,0
2000-04-05T00:00:00.000,194.7,194.7,7.8,0
2000-04-06T00:00:00.000,178.1,178.1,7.8,0
2000-04-07T00:00:00.000,175.4,175.4,7.8,0
2000-04-08T00:00:00.000,182.5,182.5,7.8,0
2000-04-09T00:00:00.000,176.9,176.9,7.8,0
2000-04-10T00:00:00.000,178.6,178.6,7.8,0
2000-04-11T00:00:00.000,182.4,182.4,7.8,0
2000-04-12T00:00:00.000,173.9,173.9,7.8,0
2000-04-13T00:00:00.000,165.0,165.0,7.8,0
2000-04-14T00:00:00.000,166.3,166.3,7.8,0
2000-04-15T00:00:00.000,164.9,164.9,7.8,0
2000-04-16T00:00:00.000,160.2,160.2,7.7,0
2000-04-17T00:00:00.000,159.2,159.2,7.7,0
2000-04-18T00:00:00.000,161.8,161.8,7.7,0
2000-04-19T00:00:00.000,169.2,169.2,7.7,0
2000-04-20T00:00:00.000,182.4,182.4,7.7,0
2000-04-21T00:00:00.000,189.2,189.2,7.7,0
2000-04-22T00:00:00.000,204.1,204.1,7.7,0
2000-04-23T00:00:00.000,208.4,208.4,7.8,0
2000-04-24T00:00:00.000,208.1,208.1,7.8,0
2000-04-25T00:00:00.000,205.1,205.1,7.8,0
2000-04-26T00:00:00.000,192.4,192.4,7.8,0
2000-04-27T00:00:00.000,186.0,186.0,7.8,0
2000-04-28T00:00:00.000,186.0,186.0,7.8,0
2000-04-29T00:00:00.000,177.5,177.5,7.8,0
2000-04-30T00:00:00.000,172.0,172.0,7.8,0
2000-05-01T00:00:00.000,160.1,160.1,7.8,0
2000-05-02T00:00:00.000,155.3,155.3,7.8,0
2000-05-03T00:00:00.000,139.6,139.6,7.7,0
2000-05-04T00:00:00.000,136.8,136.8,7.7,0
2000-05-05T00:00:00.000,132.1,132.1,7.7,0
2000-05-06T00:00:00.000,129.1,129.1,7.7,0
2000-05-07T00:00:00.000,133.4,133.4,7.6,0
2000-05-08T00:00:00.000,139.6,139.6,7.6,0
2000-05-09T00:00:00.000,152.5,152.5,7.6,0
2000-05-10T00:00:00.000,182.8,182.8,7.6,0
2000-05-11T00:00:00.000,181.3,181.3,7.6,0
2000-05-12T00:00:00.000,194.4,194.4,7.6,0
2000-05-13T00:00:00.000,222.0,222.0,7.6,0
2000-05-14T00:00:00.000,237.6,237.6,7.7,0
2000-05-15T00:00:00.000,249.9,249.9,7.7,0
2000-05-16T00:00:00.000,264.5,264.5,7.8,0
2000-05-17T00:00:00.000,268.1,268.1,7.8,0
2000-05-18T00:00:00.000,258.8,258.8,7.9,0
2000-05-19T00:00:00.000,260.4,260.4,8.0,0
2000-05-20T00:00:00.000,251.6,251.6,8.0,0
2000-05-21T00:00:00.000,238.0,238.0,8.0,0
2000-05-22T00:00:00.000,220.3,220.3,8.1,0
2000-05-23T00:00:00.000,209.5,209.5,8.1,0
2000-05-24T00:00:00.000,194.3,194.3,8.1,0
2000-05-25T00:00:00.000,177.4,177.4,8.1,0
2000-05-26T00:00:00.000,172.4,172.4,8.1,0
2000-05-27T00:00:00.000,166.2,166.2,8.1,0
2000-05-28T00:00:00.000,160.2,160.2,8.0,0
2000-05-29T00:00:00.000,153.1,153.1,8.0,0
2000-05-30T00:00:00.000,150.5,150.5,8.0,0
2000-05-31T00:00:00.000,158.7,158.7,8.0,0
2000-06-01T00:00:00.000,152.3,152.3,8.0,0
2000-06-02T00:00:00.000,192.7,156.7,36.0,4
2000-06-03T00:00:00.000,170.7,170.7,8.0,0
2000-06-04T00:00:00.000,174.7,174.7,7.9,0
2000-06-05T00:00:00.000,176.1,176.1,7.9,0
2000-06-06T00:00:00.000,192.0,192.0,8.0,0
2000-06-07T00:00:00.000,185.8,185.8,8.0,0
2000-06-08T00:00:00.000,179.9,179.9,8.0,0
2000-06-09T00:00:00.000,174.1,174.1,7.9,0
2000-06-10T00:00:00.000,185.1,185.1,7.9,0
2000-06-11T00:00:00.000,192.6,192.6,8.0,0
2000-06-12T00:00:00.000,198.7,198.7,8.0,0
2000-06-13T00:00:00.000,205.5,205.5,8.0,0
